IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
461f41,rdx,807219,1316,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",0,1,5.404798,73.33333333333333,26.666666666666668,INTEGER,0.26744186046511625
461f3d,rsp,818020,1550,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",0,1,5.478649,72.89156626506023,27.10843373493976,DATAXFER,0.3246753246753247
461f41,rax,834240,1285,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,5.589551,72.45508982035928,27.54491017964072,INTEGER,0.26744186046511625
480360,rdx,837278,1140,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rax",1,0,5.610323,72.02380952380952,27.976190476190474,DATAXFER,0.391304347826087
48117d,rax,904326,797,crash,<hypre_CSRMatrixMatvecT._omp_fn.10>,addsd,"addsd, (%rcx),%xmm0",0,1,6.068757,71.59763313609467,28.402366863905325,FP,0.3333333333333333
480190,rdx,904542,1430,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rcx",1,0,6.070234,71.34502923976608,28.65497076023392,DATAXFER,0.42105263157894735
48019e,xmm1,904542,1430,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",1,0,6.070234,71.76470588235294,28.23529411764705,CONDITION,0.3684210526315789
480190,rdx,904542,1430,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rcx",0,1,6.070234,71.51162790697674,28.48837209302325,DATAXFER,0.42105263157894735
480190,rax,904542,1430,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rcx",1,0,6.070234,71.67630057803468,28.32369942196532,DATAXFER,0.42105263157894735
461f41,rflags,933094,76,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",0,1,6.265455,71.83908045977012,28.160919540229884,INTEGER,0.26744186046511625
482560,rax,948804,907,masked,<hypre_SeqVectorInnerProd._omp_fn.4>,movsd,"movsd, (%rsi,%rdx,8),%xmm1",1,0,6.372871,71.42857142857143,28.571428571428573,UnKnown,0.3333333333333333
493e35,rsp,958301,1620,masked,<new_format>,test,"test, %cl,%cl",1,0,6.437805,71.5909090909091,28.40909090909091,CONDITION,0.0
4924e0,rflags,959754,1082,masked,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,mov,"mov, 0x28(%rdi),%rcx",1,0,6.44774,71.75141242937853,28.24858757062147,DATAXFER,0.0
42824d,rflags,970638,1800,masked,<hypre_BoomerAMGBuildMultipass>,cmp,"cmp, %rax,(%rdi)",1,0,6.522158,71.91011235955057,28.08988764044944,CONDITION,0.0
470250,rsi,983841,1253,masked,<hypre_ParMatmul._omp_fn.4>,mov,"mov, (%rsp),%rax",1,0,6.612432,72.22222222222223,27.77777777777778,DATAXFER,0.5
470314,rdx,983841,1253,masked,<hypre_ParMatmul._omp_fn.4>,cmpq,"cmpq, $0x0,0x78(%r14)",1,0,6.612432,72.06703910614524,27.932960893854748,UnKnown,0.42857142857142855
461f48,rax,984223,520,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mulsd,"mulsd, (%r8,%rdx,8),%xmm1",0,1,6.615044,72.37569060773481,27.6243093922652,FP,0.2564102564102564
